Software,Version,Dependent Toolchain,Module Load Command
bzip2,1.0.8,foss/2021b,`module load foss/2021b bzip2/1.0.8`
zstd,1.5.0,foss/2021b,`module load foss/2021b zstd/1.5.0`
cairo,1.16.0,foss/2021b,`module load foss/2021b cairo/1.16.0`
Automake,1.16.4,foss/2021b,`module load foss/2021b Automake/1.16.4`
libGLU,9.0.2,foss/2021b,`module load foss/2021b libGLU/9.0.2`
HarfBuzz,2.8.2,foss/2021b,`module load foss/2021b HarfBuzz/2.8.2`
GMP,6.2.1,foss/2021b,`module load foss/2021b GMP/6.2.1`
SDL2,2.0.20,foss/2021b,`module load foss/2021b SDL2/2.0.20`
libtool,2.4.6,foss/2021b,`module load foss/2021b libtool/2.4.6`
LLVM,12.0.1,foss/2021b,`module load foss/2021b LLVM/12.0.1`
libjpeg-turbo,2.0.6,foss/2021b,`module load foss/2021b libjpeg-turbo/2.0.6`
NSPR,4.32,foss/2021b,`module load foss/2021b NSPR/4.32`
Voro++,0.4.6,foss/2021b,`module load foss/2021b Voro++/0.4.6`
x264,20210613,foss/2021b,`module load foss/2021b x264/20210613`
DBus,1.13.18,foss/2021b,`module load foss/2021b DBus/1.13.18`
FLAC,1.3.3,foss/2021b,`module load foss/2021b FLAC/1.3.3`
pybind11,2.7.1,foss/2021b,`module load foss/2021b pybind11/2.7.1`
xorg-macros,1.19.3,foss/2021b,`module load foss/2021b xorg-macros/1.19.3`
binutils,2.37,foss/2021b,`module load foss/2021b binutils/2.37`
Brotli,1.0.9,foss/2021b,`module load foss/2021b Brotli/1.0.9`
PCRE2,10.37,foss/2021b,`module load foss/2021b PCRE2/10.37`
tbb,2020.3,foss/2021b,`module load foss/2021b tbb/2020.3`
libpciaccess,0.16,foss/2021b,`module load foss/2021b libpciaccess/0.16`
FFmpeg,4.3.2,foss/2021b,`module load foss/2021b FFmpeg/4.3.2`
libcerf,1.17,foss/2021b,`module load foss/2021b libcerf/1.17`
make,4.3,foss/2021b,`module load foss/2021b make/4.3`
Pillow,8.3.2,foss/2021b,`module load foss/2021b Pillow/8.3.2`
pixman,0.40.0,foss/2021b,`module load foss/2021b pixman/0.40.0`
METIS,5.1.0,foss/2021b,`module load foss/2021b METIS/5.1.0`
pkg-config,0.29.2,foss/2021b,`module load foss/2021b pkg-config/0.29.2`
UCX,1.11.2,foss/2021b,`module load foss/2021b UCX/1.11.2`
PMIx,4.1.0,foss/2021b,`module load foss/2021b PMIx/4.1.0`
ncurses,6.2,foss/2021b,`module load foss/2021b ncurses/6.2`
pkgconfig,1.5.5-python,foss/2021b,`module load foss/2021b pkgconfig/1.5.5-python`
libpng,1.6.37,foss/2021b,`module load foss/2021b libpng/1.6.37`
Pango,1.48.8,foss/2021b,`module load foss/2021b Pango/1.48.8`
libevent,2.1.12,foss/2021b,`module load foss/2021b libevent/2.1.12`
Yasm,1.3.0,foss/2021b,`module load foss/2021b Yasm/1.3.0`
Doxygen,1.9.1,foss/2021b,`module load foss/2021b Doxygen/1.9.1`
gnuplot,5.4.2,foss/2021b,`module load foss/2021b gnuplot/5.4.2`
hwloc,2.5.0,foss/2021b,`module load foss/2021b hwloc/2.5.0`
HDF,4.2.15,foss/2021b,`module load foss/2021b HDF/4.2.15`
libxml2,2.9.10,foss/2021b,`module load foss/2021b libxml2/2.9.10`
NASM,2.15.05,foss/2021b,`module load foss/2021b NASM/2.15.05`
git,2.33.1-nodocs,foss/2021b,`module load foss/2021b git/2.33.1-nodocs`
tmux,3.2a,foss/2021b,`module load foss/2021b tmux/3.2a`
UnZip,6.0,foss/2021b,`module load foss/2021b UnZip/6.0`
Qt5,5.15.2,foss/2021b,`module load foss/2021b Qt5/5.15.2`
graphite2,1.3.14,foss/2021b,`module load foss/2021b graphite2/1.3.14`
PROJ,8.1.0,foss/2021b,`module load foss/2021b PROJ/8.1.0`
hypothesis,6.14.6,foss/2021b,`module load foss/2021b hypothesis/6.14.6`
NCCL,2.10.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b NCCL/2.10.3-CUDA-11.4.1`
OpenJPEG,2.4.0,foss/2021b,`module load foss/2021b OpenJPEG/2.4.0`
tcsh,6.24.01,foss/2021b,`module load foss/2021b tcsh/6.24.01`
ANSYS,2023R1,foss/2021b,`module load foss/2021b ANSYS/2023R1`
UCX-CUDA,1.11.2-CUDA-11.4.1,foss/2021b,`module load foss/2021b UCX-CUDA/1.11.2-CUDA-11.4.1`
FLTK,1.3.7,foss/2021b,`module load foss/2021b FLTK/1.3.7`
Qhull,2020.2,foss/2021b,`module load foss/2021b Qhull/2020.2`
DB,18.1.40,foss/2021b,`module load foss/2021b DB/18.1.40`
ImageMagick,7.1.0-4,foss/2021b,`module load foss/2021b ImageMagick/7.1.0-4`
Tk,8.6.11,foss/2021b,`module load foss/2021b Tk/8.6.11`
pkgconf,1.8.0,foss/2021b,`module load foss/2021b pkgconf/1.8.0`
Rust,1.73.0,foss/2023b,`module load foss/2023b Rust/1.73.0`
zlib,1.2.13,foss/2023b,`module load foss/2023b zlib/1.2.13`
libarchive,3.7.2,foss/2023b,`module load foss/2023b libarchive/3.7.2`
virtualenv,20.24.6,foss/2023b,`module load foss/2023b virtualenv/20.24.6`
Ninja,1.11.1,foss/2023b,`module load foss/2023b Ninja/1.11.1`
Perl,5.38.0,foss/2023b,`module load foss/2023b Perl/5.38.0`
M4,1.4.19,foss/2023b,`module load foss/2023b M4/1.4.19`
groff,1.23.0,foss/2023b,`module load foss/2023b groff/1.23.0`
Meson,1.2.3,foss/2023b,`module load foss/2023b Meson/1.2.3`
gettext,0.22,foss/2023b,`module load foss/2023b gettext/0.22`
scikit-build,0.17.6,foss/2023b,`module load foss/2023b scikit-build/0.17.6`
libffi,3.4.4,foss/2023b,`module load foss/2023b libffi/3.4.4`
Eigen,3.4.0,foss/2023b,`module load foss/2023b Eigen/3.4.0`
expat,2.5.0,foss/2023b,`module load foss/2023b expat/2.5.0`
Autoconf,2.71,foss/2023b,`module load foss/2023b Autoconf/2.71`
hatchling,1.18.0,foss/2023b,`module load foss/2023b hatchling/1.18.0`
flit,3.9.0,foss/2023b,`module load foss/2023b flit/3.9.0`
XZ,5.4.4,foss/2023b,`module load foss/2023b XZ/5.4.4`
Bison,3.8.2,foss/2023b,`module load foss/2023b Bison/3.8.2`
setuptools-rust,1.8.0,foss/2023b,`module load foss/2023b setuptools-rust/1.8.0`
Autotools,20220317,foss/2023b,`module load foss/2023b Autotools/20220317`
Tcl,8.6.13,foss/2023b,`module load foss/2023b Tcl/8.6.13`
patchelf,0.18.0,foss/2023b,`module load foss/2023b patchelf/0.18.0`
Perl-bundle-CPAN,5.38.0,foss/2023b,`module load foss/2023b Perl-bundle-CPAN/5.38.0`
SQLite,3.43.1,foss/2023b,`module load foss/2023b SQLite/3.43.1`
cryptography,41.0.5,foss/2023b,`module load foss/2023b cryptography/41.0.5`
libreadline,8.2,foss/2023b,`module load foss/2023b libreadline/8.2`
numactl,2.0.16,foss/2023b,`module load foss/2023b numactl/2.0.16`
Python,3.11.5,foss/2023b,`module load foss/2023b Python/3.11.5`
help2man,1.49.3,foss/2023b,`module load foss/2023b help2man/1.49.3`
flex,2.6.4,foss/2023b,`module load foss/2023b flex/2.6.4`
UCC,1.2.0,foss/2023b,`module load foss/2023b UCC/1.2.0`
cURL,8.3.0,foss/2023b,`module load foss/2023b cURL/8.3.0`
libfabric,1.19.0,foss/2023b,`module load foss/2023b libfabric/1.19.0`
libiconv,1.17,foss/2023b,`module load foss/2023b libiconv/1.17`
CMake,3.27.6,foss/2023b,`module load foss/2023b CMake/3.27.6`
bzip2,1.0.8,foss/2023b,`module load foss/2023b bzip2/1.0.8`
Automake,1.16.5,foss/2023b,`module load foss/2023b Automake/1.16.5`
libtool,2.4.7,foss/2023b,`module load foss/2023b libtool/2.4.7`
pybind11,2.11.1,foss/2023b,`module load foss/2023b pybind11/2.11.1`
xorg-macros,1.20.0,foss/2023b,`module load foss/2023b xorg-macros/1.20.0`
cffi,1.15.1,foss/2023b,`module load foss/2023b cffi/1.15.1`
binutils,2.40,foss/2023b,`module load foss/2023b binutils/2.40`
libpciaccess,0.17,foss/2023b,`module load foss/2023b libpciaccess/0.17`
make,4.4.1,foss/2023b,`module load foss/2023b make/4.4.1`
UCX,1.15.0,foss/2023b,`module load foss/2023b UCX/1.15.0`
PMIx,4.2.6,foss/2023b,`module load foss/2023b PMIx/4.2.6`
ncurses,6.4,foss/2023b,`module load foss/2023b ncurses/6.4`
Perl-bundle-njit,5.38.0,foss/2023b,`module load foss/2023b Perl-bundle-njit/5.38.0`
libevent,2.1.12,foss/2023b,`module load foss/2023b libevent/2.1.12`
hwloc,2.9.2,foss/2023b,`module load foss/2023b hwloc/2.9.2`
libxml2,2.11.5,foss/2023b,`module load foss/2023b libxml2/2.11.5`
git,2.42.0,foss/2023b,`module load foss/2023b git/2.42.0`
UnZip,6.0,foss/2023b,`module load foss/2023b UnZip/6.0`
poetry,1.6.1,foss/2023b,`module load foss/2023b poetry/1.6.1`
hypothesis,6.90.0,foss/2023b,`module load foss/2023b hypothesis/6.90.0`
Catch2,2.13.9,foss/2023b,`module load foss/2023b Catch2/2.13.9`
meson-python,0.15.0,foss/2023b,`module load foss/2023b meson-python/0.15.0`
Python-bundle-PyPI,2023.10,foss/2023b,`module load foss/2023b Python-bundle-PyPI/2023.10`
pkgconf,2.0.3,foss/2023b,`module load foss/2023b pkgconf/2.0.3`
libsndfile,1.2.0,foss/2022b,`module load foss/2022b libsndfile/1.2.0`
nodejs,18.12.1,foss/2022b,`module load foss/2022b nodejs/18.12.1`
Rust,1.65.0,foss/2022b,`module load foss/2022b Rust/1.65.0`
zlib,1.2.12,foss/2022b,`module load foss/2022b zlib/1.2.12`
OpenEXR,3.1.5,foss/2022b,`module load foss/2022b OpenEXR/3.1.5`
jbigkit,2.1,foss/2022b,`module load foss/2022b jbigkit/2.1`
libgd,2.3.3,foss/2022b,`module load foss/2022b libgd/2.3.3`
lz4,1.9.4,foss/2022b,`module load foss/2022b lz4/1.9.4`
motif,2.3.8,foss/2022b,`module load foss/2022b motif/2.3.8`
libarchive,3.6.1,foss/2022b,`module load foss/2022b libarchive/3.6.1`
libidn2,2.3.2,foss/2022b,`module load foss/2022b libidn2/2.3.2`
Ninja,1.11.1,foss/2022b,`module load foss/2022b Ninja/1.11.1`
Perl,5.36.0-minimal,foss/2022b,`module load foss/2022b Perl/5.36.0-minimal`
Perl,5.36.0,foss/2022b,`module load foss/2022b Perl/5.36.0`
M4,1.4.19,foss/2022b,`module load foss/2022b M4/1.4.19`
GLib,2.75.0,foss/2022b,`module load foss/2022b GLib/2.75.0`
ICU,72.1,foss/2022b,`module load foss/2022b ICU/72.1`
giflib,5.2.1,foss/2022b,`module load foss/2022b giflib/5.2.1`
libsodium,1.0.18,foss/2022b,`module load foss/2022b libsodium/1.0.18`
groff,1.22.4,foss/2022b,`module load foss/2022b groff/1.22.4`
py-cpuinfo,9.0.0,foss/2022b,`module load foss/2022b py-cpuinfo/9.0.0`
Meson,0.64.0,foss/2022b,`module load foss/2022b Meson/0.64.0`
at-spi2-core,2.46.0,foss/2022b,`module load foss/2022b at-spi2-core/2.46.0`
UDUNITS,2.2.28,foss/2022b,`module load foss/2022b UDUNITS/2.2.28`
gettext,0.21.1,foss/2022b,`module load foss/2022b gettext/0.21.1`
libvorbis,1.3.7,foss/2022b,`module load foss/2022b libvorbis/1.3.7`
LittleCMS,2.14,foss/2022b,`module load foss/2022b LittleCMS/2.14`
scikit-build,0.17.2,foss/2022b,`module load foss/2022b scikit-build/0.17.2`
wxWidgets,3.2.2.1,foss/2022b,`module load foss/2022b wxWidgets/3.2.2.1`
Szip,2.1.1,foss/2022b,`module load foss/2022b Szip/2.1.1`
libffi,3.4.4,foss/2022b,`module load foss/2022b libffi/3.4.4`
PCRE,8.45,foss/2022b,`module load foss/2022b PCRE/8.45`
LZO,2.10,foss/2022b,`module load foss/2022b LZO/2.10`
Eigen,3.4.0,foss/2022b,`module load foss/2022b Eigen/3.4.0`
GObject-Introspection,1.74.0,foss/2022b,`module load foss/2022b GObject-Introspection/1.74.0`
LAME,3.100,foss/2022b,`module load foss/2022b LAME/3.100`
snappy,1.1.9,foss/2022b,`module load foss/2022b snappy/1.1.9`
NSS,3.85,foss/2022b,`module load foss/2022b NSS/3.85`
expat,2.4.9,foss/2022b,`module load foss/2022b expat/2.4.9`
Autoconf,2.71,foss/2022b,`module load foss/2022b Autoconf/2.71`
Xvfb,21.1.6,foss/2022b,`module load foss/2022b Xvfb/21.1.6`
xxd,9.0.1696,foss/2022b,`module load foss/2022b xxd/9.0.1696`
GStreamer,1.22.1,foss/2022b,`module load foss/2022b GStreamer/1.22.1`
utf8proc,2.8.0,foss/2022b,`module load foss/2022b utf8proc/2.8.0`
XZ,5.2.7,foss/2022b,`module load foss/2022b XZ/5.2.7`
cppy,1.2.1,foss/2022b,`module load foss/2022b cppy/1.2.1`
X11,20221110,foss/2022b,`module load foss/2022b X11/20221110`
Mesa,22.2.4,foss/2022b,`module load foss/2022b Mesa/22.2.4`
GLPK,5.0,foss/2022b,`module load foss/2022b GLPK/5.0`
Bison,3.8.2,foss/2022b,`module load foss/2022b Bison/3.8.2`
LSD2,2.4.1,foss/2022b,`module load foss/2022b LSD2/2.4.1`
Lua,5.4.4,foss/2022b,`module load foss/2022b Lua/5.4.4`
Autotools,20220317,foss/2022b,`module load foss/2022b Autotools/20220317`
ZeroMQ,4.3.4,foss/2022b,`module load foss/2022b ZeroMQ/4.3.4`
re2c,3.0,foss/2022b,`module load foss/2022b re2c/3.0`
libtirpc,1.3.3,foss/2022b,`module load foss/2022b libtirpc/1.3.3`
LibTIFF,4.4.0,foss/2022b,`module load foss/2022b LibTIFF/4.4.0`
gperf,3.1,foss/2022b,`module load foss/2022b gperf/3.1`
Tcl,8.6.12,foss/2022b,`module load foss/2022b Tcl/8.6.12`
at-spi2-atk,2.38.0,foss/2022b,`module load foss/2022b at-spi2-atk/2.38.0`
ACTC,1.1,foss/2022b,`module load foss/2022b ACTC/1.1`
x265,3.5,foss/2022b,`module load foss/2022b x265/3.5`
libdrm,2.4.114,foss/2022b,`module load foss/2022b libdrm/2.4.114`
Tkinter,3.10.8,foss/2022b,`module load foss/2022b Tkinter/3.10.8`
gzip,1.12,foss/2022b,`module load foss/2022b gzip/1.12`
libxslt,1.1.37,foss/2022b,`module load foss/2022b libxslt/1.1.37`
SQLite,3.39.4,foss/2022b,`module load foss/2022b SQLite/3.39.4`
Graphene,1.10.8,foss/2022b,`module load foss/2022b Graphene/1.10.8`
libreadline,8.2,foss/2022b,`module load foss/2022b libreadline/8.2`
numactl,2.0.16,foss/2022b,`module load foss/2022b numactl/2.0.16`
libvori,220621,foss/2022b,`module load foss/2022b libvori/220621`
intltool,0.51.0,foss/2022b,`module load foss/2022b intltool/0.51.0`
Blosc,1.21.3,foss/2022b,`module load foss/2022b Blosc/1.21.3`
double-conversion,3.2.1,foss/2022b,`module load foss/2022b double-conversion/3.2.1`
libunwind,1.6.2,foss/2022b,`module load foss/2022b libunwind/1.6.2`
Python,3.10.8-bare,foss/2022b,`module load foss/2022b Python/3.10.8-bare`
Python,2.7.18-bare,foss/2022b,`module load foss/2022b Python/2.7.18-bare`
Python,3.10.8,foss/2022b,`module load foss/2022b Python/3.10.8`
Brunsli,0.1,foss/2022b,`module load foss/2022b Brunsli/0.1`
Ghostscript,10.0.0,foss/2022b,`module load foss/2022b Ghostscript/10.0.0`
help2man,1.49.2,foss/2022b,`module load foss/2022b help2man/1.49.2`
GDRCopy,2.3,foss/2022b,`module load foss/2022b GDRCopy/2.3`
JasPer,4.0.0,foss/2022b,`module load foss/2022b JasPer/4.0.0`
elfutils,0.189,foss/2022b,`module load foss/2022b elfutils/0.189`
RapidJSON,1.1.0,foss/2022b,`module load foss/2022b RapidJSON/1.1.0`
flex,2.6.4,foss/2022b,`module load foss/2022b flex/2.6.4`
FriBidi,1.0.12,foss/2022b,`module load foss/2022b FriBidi/1.0.12`
UCC,1.1.0,foss/2022b,`module load foss/2022b UCC/1.1.0`
json-c,0.16,foss/2022b,`module load foss/2022b json-c/0.16`
cURL,7.86.0,foss/2022b,`module load foss/2022b cURL/7.86.0`
util-linux,2.38.1,foss/2022b,`module load foss/2022b util-linux/2.38.1`
libfabric,1.16.1,foss/2022b,`module load foss/2022b libfabric/1.16.1`
tqdm,4.64.1,foss/2022b,`module load foss/2022b tqdm/4.64.1`
nettle,3.8.1,foss/2022b,`module load foss/2022b nettle/3.8.1`
libiconv,1.17,foss/2022b,`module load foss/2022b libiconv/1.17`
MPFR,4.2.0,foss/2022b,`module load foss/2022b MPFR/4.2.0`
xprop,1.2.5,foss/2022b,`module load foss/2022b xprop/1.2.5`
Xerces-C++,3.2.4,foss/2022b,`module load foss/2022b Xerces-C++/3.2.4`
CMake,3.24.3,foss/2022b,`module load foss/2022b CMake/3.24.3`
fontconfig,2.14.1,foss/2022b,`module load foss/2022b fontconfig/2.14.1`
libogg,1.3.5,foss/2022b,`module load foss/2022b libogg/1.3.5`
libgit2,1.5.0,foss/2022b,`module load foss/2022b libgit2/1.5.0`
Mako,1.2.4,foss/2022b,`module load foss/2022b Mako/1.2.4`
libglvnd,1.6.0,foss/2022b,`module load foss/2022b libglvnd/1.6.0`
freetype,2.12.1,foss/2022b,`module load foss/2022b freetype/2.12.1`
libgeotiff,1.7.1,foss/2022b,`module load foss/2022b libgeotiff/1.7.1`
NLopt,2.7.1,foss/2022b,`module load foss/2022b NLopt/2.7.1`
CFITSIO,4.2.0,foss/2022b,`module load foss/2022b CFITSIO/4.2.0`
ATK,2.38.0,foss/2022b,`module load foss/2022b ATK/2.38.0`
bzip2,1.0.8,foss/2022b,`module load foss/2022b bzip2/1.0.8`
zstd,1.5.2,foss/2022b,`module load foss/2022b zstd/1.5.2`
cairo,1.17.4,foss/2022b,`module load foss/2022b cairo/1.17.4`
GST-plugins-base,1.22.1,foss/2022b,`module load foss/2022b GST-plugins-base/1.22.1`
Automake,1.16.5,foss/2022b,`module load foss/2022b Automake/1.16.5`
libGLU,9.0.2,foss/2022b,`module load foss/2022b libGLU/9.0.2`
HarfBuzz,5.3.1,foss/2022b,`module load foss/2022b HarfBuzz/5.3.1`
Blosc2,2.8.0,foss/2022b,`module load foss/2022b Blosc2/2.8.0`
GMP,6.2.1,foss/2022b,`module load foss/2022b GMP/6.2.1`
SDL2,2.26.3,foss/2022b,`module load foss/2022b SDL2/2.26.3`
libtool,2.4.7,foss/2022b,`module load foss/2022b libtool/2.4.7`
LLVM,15.0.5,foss/2022b,`module load foss/2022b LLVM/15.0.5`
GSL,2.7,foss/2022b,`module load foss/2022b GSL/2.7`
libjpeg-turbo,2.1.4,foss/2022b,`module load foss/2022b libjpeg-turbo/2.1.4`
Gdk-Pixbuf,2.42.10,foss/2022b,`module load foss/2022b Gdk-Pixbuf/2.42.10`
NSPR,4.35,foss/2022b,`module load foss/2022b NSPR/4.35`
x264,20230226,foss/2022b,`module load foss/2022b x264/20230226`
libopus,1.3.1,foss/2022b,`module load foss/2022b libopus/1.3.1`
DBus,1.15.2,foss/2022b,`module load foss/2022b DBus/1.15.2`
FLAC,1.4.2,foss/2022b,`module load foss/2022b FLAC/1.4.2`
pybind11,2.10.3,foss/2022b,`module load foss/2022b pybind11/2.10.3`
xorg-macros,1.19.3,foss/2022b,`module load foss/2022b xorg-macros/1.19.3`
GTK3,3.24.35,foss/2022b,`module load foss/2022b GTK3/3.24.35`
binutils,2.39,foss/2022b,`module load foss/2022b binutils/2.39`
Brotli,1.0.9,foss/2022b,`module load foss/2022b Brotli/1.0.9`
PCRE2,10.40,foss/2022b,`module load foss/2022b PCRE2/10.40`
Imath,3.1.6,foss/2022b,`module load foss/2022b Imath/3.1.6`
libpciaccess,0.17,foss/2022b,`module load foss/2022b libpciaccess/0.17`
FFmpeg,5.1.2,foss/2022b,`module load foss/2022b FFmpeg/5.1.2`
FFmpeg,6.1.1,foss/2022b,`module load foss/2022b FFmpeg/6.1.1`
libcerf,2.3,foss/2022b,`module load foss/2022b libcerf/2.3`
Pillow,9.4.0,foss/2022b,`module load foss/2022b Pillow/9.4.0`
pixman,0.42.2,foss/2022b,`module load foss/2022b pixman/0.42.2`
googletest,1.12.1,foss/2022b,`module load foss/2022b googletest/1.12.1`
METIS,5.1.0,foss/2022b,`module load foss/2022b METIS/5.1.0`
UCX,1.13.1,foss/2022b,`module load foss/2022b UCX/1.13.1`
PMIx,4.2.2,foss/2022b,`module load foss/2022b PMIx/4.2.2`
ncurses,6.3,foss/2022b,`module load foss/2022b ncurses/6.3`
libpng,1.6.38,foss/2022b,`module load foss/2022b libpng/1.6.38`
Pango,1.50.12,foss/2022b,`module load foss/2022b Pango/1.50.12`
libevent,2.1.12,foss/2022b,`module load foss/2022b libevent/2.1.12`
Yasm,1.3.0,foss/2022b,`module load foss/2022b Yasm/1.3.0`
libepoxy,1.5.10,foss/2022b,`module load foss/2022b libepoxy/1.5.10`
Doxygen,1.9.5,foss/2022b,`module load foss/2022b Doxygen/1.9.5`
gnuplot,5.4.6,foss/2022b,`module load foss/2022b gnuplot/5.4.6`
hwloc,2.8.0,foss/2022b,`module load foss/2022b hwloc/2.8.0`
HDF,4.2.15,foss/2022b,`module load foss/2022b HDF/4.2.15`
libxml2,2.10.3,foss/2022b,`module load foss/2022b libxml2/2.10.3`
NASM,2.15.05,foss/2022b,`module load foss/2022b NASM/2.15.05`
git,2.38.1-nodocs,foss/2022b,`module load foss/2022b git/2.38.1-nodocs`
PyZMQ,25.1.0,foss/2022b,`module load foss/2022b PyZMQ/25.1.0`
UnZip,6.0,foss/2022b,`module load foss/2022b UnZip/6.0`
Qt5,5.15.7,foss/2022b,`module load foss/2022b Qt5/5.15.7`
graphite2,1.3.14,foss/2022b,`module load foss/2022b graphite2/1.3.14`
PROJ,9.1.1,foss/2022b,`module load foss/2022b PROJ/9.1.1`
LERC,4.0.0,foss/2022b,`module load foss/2022b LERC/4.0.0`
hypothesis,6.68.2,foss/2022b,`module load foss/2022b hypothesis/6.68.2`
OpenJPEG,2.5.0,foss/2022b,`module load foss/2022b OpenJPEG/2.5.0`
RE2,2023-03-01,foss/2022b,`module load foss/2022b RE2/2023-03-01`
Highway,1.0.3,foss/2022b,`module load foss/2022b Highway/1.0.3`
UCX-CUDA,1.13.1-CUDA-12.0.0,foss/2022b,`module load foss/2022b UCX-CUDA/1.13.1-CUDA-12.0.0`
FLTK,1.3.8,foss/2022b,`module load foss/2022b FLTK/1.3.8`
Qhull,2020.2,foss/2022b,`module load foss/2022b Qhull/2020.2`
OpenPGM,5.2.122,foss/2022b,`module load foss/2022b OpenPGM/5.2.122`
DB,18.1.40,foss/2022b,`module load foss/2022b DB/18.1.40`
ImageMagick,7.1.0-53,foss/2022b,`module load foss/2022b ImageMagick/7.1.0-53`
Tk,8.6.12,foss/2022b,`module load foss/2022b Tk/8.6.12`
nlohmann_json,3.11.2,foss/2022b,`module load foss/2022b nlohmann_json/3.11.2`
libdeflate,1.15,foss/2022b,`module load foss/2022b libdeflate/1.15`
pkgconf,1.9.3,foss/2022b,`module load foss/2022b pkgconf/1.9.3`
